"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TUSC2",0.109529532588756,7.12764798472883,3.70435160193793,0.00134661334243422,0.00295438246757112,-2.04655049910184
"YOD1",0.109525950655615,3.22085134078371,8.74672652593665,2.22404316687136e-08,2.14789568589401e-07,9.10161113252117
"TOMM7",0.109520076430294,7.83064704598106,2.21200333059067,0.0383987513604359,0.0586935318598404,-5.24641675011071
"RHOG",0.109504411585855,6.41497696676364,2.31621451175006,0.030936779215846,0.048509415285677,-5.04898221294693
"UVRAG",0.109498430625314,-6.50113461954758,2.15475366918829,0.0431653339150411,0.0651627096682797,-5.35250237805958
"TMC7",0.109404414809834,2.70511687930872,9.09691330494325,1.16096744119569e-08,1.24830806481545e-07,9.76668355927229
"ARL3",0.10937398347718,4.82967864694741,8.72090220896451,2.33470436206428e-08,2.23454589391593e-07,9.05193365501051
"TRPV1",0.109367266545124,6.58430720557641,3.73268457045871,0.00125954943479091,0.00278532033533629,-1.98073024079523
"PLEKHB2",0.109319646691048,4.17326098605778,2.07471754450506,0.0507292435749421,0.0751287953302542,-5.49784058509337
"NCR3",0.109315827602254,9.3432467724879,2.92068665731167,0.00827554355660344,0.0150257494379503,-3.8108876901616
"DAP3",0.109263487171916,5.15189930644909,6.29278581072903,3.32840591965212e-06,1.48675624039231e-05,3.9872497581128
"ZNF280A",0.109235192467906,3.63979466728682,9.51536440490085,5.44760080916377e-09,6.66940496770089e-08,10.5407703311316
"ARHGEF16",0.109234108485161,5.97844722673789,5.39895813684733,2.49820134033194e-05,8.73143186798329e-05,1.94186053147027
"SHOX2",0.109208151661988,7.29961655282566,6.62942648485645,1.59713805412841e-06,7.78235602769029e-06,4.73497990179319
"STEEP1",0.10920155556287,6.26769222838567,2.71163919042447,0.0132012718605799,0.0226373175477485,-4.25488040207669
"CA8",0.109182916422515,8.71016294080191,3.68014117601509,0.00142570616411489,0.0031129741070171,-2.10271524987805
"KIR2DS4",0.109148681687277,8.88308919028361,3.99811169834218,0.000672204923798361,0.00159441679091717,-1.360065195318
"PABPN1",0.109135989870428,10.1544904904218,2.64849188387183,0.0151700023595352,0.0256458152100604,-4.38599213325559
"TWSG1",0.109126884323966,0.660051927376993,7.59935668083345,2.09291806716119e-07,1.38654468536297e-06,6.80911972875843
"HYDIN",0.109046421605476,4.84262723670918,3.35171300495777,0.00307773939212033,0.00621370497485307,-2.85601520539076
"PLA2G3",0.109015722113887,4.46833051967471,4.86156897123988,8.72332886576142e-05,0.00026229384704142,0.680465089357062
"IL12B",0.109014028513163,5.17004055206002,8.27283237535763,5.4968826679415e-08,4.52819032197421e-07,8.17600176388609
"GPER1",0.108995163630674,2.57169422727103,5.69512563456826,1.26844884307939e-05,4.8030029226714e-05,2.62823306483628
"GABPB1",0.108994702595386,0.312829332445479,2.65971772010673,0.0148008422866138,0.0250979325109078,-4.36279338644999
"RYK",0.108919505340797,-3.93994742068102,2.39828307455846,0.0260269078605226,0.0416313492457972,-4.88976798338984
"SLC25A31",0.108885326288562,3.4232274831464,9.01924089181264,1.33923813150035e-08,1.4034601891975e-07,9.62053946094436
"CYP2J2",0.108884335983582,5.27828288852238,7.18156795872152,4.94565831606069e-07,2.87620801069361e-06,5.93075655033605
"RPL13",0.108849554128369,10.0312663949894,5.35568068427759,2.76032377145225e-05,9.47686493759184e-05,1.84096049869603
"APOBEC3C",0.108839123627858,1.62807325272648,2.4991749372237,0.0209826702170023,0.0342516347736051,-4.68981477588417
"PJA1",0.108836326276304,6.0186591409664,4.84720080913842,9.02263104265707e-05,0.00026971011468783,0.646537633469629
"WIPF2",0.10882761813204,4.93197635746246,4.69776396677923,0.000128242634410714,0.000366988866204157,0.293300314662837
"DUOX1",0.108796221475386,3.06915333895065,5.68327565534401,1.30308770541245e-05,4.919617085941e-05,2.6009192983244
"RAB3IL1",0.108766330858387,13.896970098317,3.45897318238552,0.00239648621508211,0.00496110612194335,-2.61196078358766
"HIC1",0.108754766981873,2.22206850651226,4.95903866850899,6.9414845240414e-05,0.000214405814797092,0.910408957263217
"COL10A1",0.108731068297182,9.95523676318053,5.33762987704864,2.87777380358828e-05,9.82740568766708e-05,1.7988340309912
"CYLC2",0.108730898517684,6.79176044731119,4.89657514654351,8.03547613543467e-05,0.000244191522046455,0.76309318087128
"BTN1A1",0.108728624205704,4.84969626973509,4.18950833837955,0.000426967355930805,0.00106646069047199,-0.909172386956259
"RDH8",0.1087197590918,5.77806903619955,3.86923730954985,0.000912136278044575,0.00208921788170968,-1.66224862506785
"LIN7A",0.108702748647781,5.15899684561237,3.73457550152934,0.00125394125987178,0.00277435586971632,-1.97633399718612
"C19orf53",0.108681494817491,8.33315563431861,5.45074751760994,2.21756066053411e-05,7.84497113797929e-05,2.06241515568222
"DECR2",0.1086536190928,8.45590705627868,5.98020704017269,6.66561940983989e-06,2.72715406269679e-05,3.28119765251007
"S100G",0.10864706238503,8.05844858209178,3.71204875646655,0.0013223885649348,0.00290920940775727,-2.0286788893127
