"","GSM1550052","GSM1550053","GSM1550054","GSM1550055","GSM1550056","GSM1550057","GSM1550058","GSM1550059","GSM1550060","GSM1550061","GSM1571226","GSM1571227","GSM1571228","GSM1571229","GSM1571230","GSM1571231","GSM2419971","GSM2419972","GSM2419973"
"hsa-miR-1290",2.84403431022231,2.79867781499481,2.60733580582573,2.82788002663701,3.41880368866134,2.83245956829658,3.12857271471692,2.83726072304752,2.58095490584743,2.54655443947696,2.12190767719572,2.93144716890911,2.72492783357506,2.99814954152715,2.45296657328296,2.54349992467029,3.72679591981715,2.51276687224143,2.18462676067802
"hsa-miR-1291",-0.491088580993239,-0.930736255210506,-0.327914619331362,0.00481173782202005,-0.0613857718756864,-0.383221364463331,-0.888078965456164,-0.412019220034456,-0.400581436007783,-0.446413419156883,-0.750479769490541,-0.827165955407266,0.99466044519402,-0.761630198229881,-0.559429080787997,-0.811945220147942,-0.638051127135463,-0.428527091449168,-0.225597272576627
"hsa-miR-1293",-0.896724909686931,-0.685782790304592,-0.695784241595904,-0.68944418760066,-0.891970582028357,-0.967073040971602,-0.887513063945566,-1.06496143345742,-0.96148456350319,-0.796981299266782,-0.89456099077324,-0.99386390405447,-1.00175183731266,-0.908999967557841,-0.647164543215524,-0.974154182734198,-0.987742017468191,-0.88345625222363,-0.756878299702368
"hsa-miR-1294",-0.103528709902683,-0.7671588844543,-0.226640714913511,-0.33841136531639,-0.900048793782437,-0.422735922029844,-0.483765366628,-0.626217021835248,-0.606246447176634,-0.920328105563269,-0.571191610436949,-0.702644063772799,-0.713085733047918,-0.590305238217635,-0.243700010206297,-0.676553276136206,-0.73191687430078,-0.553926500810397,-0.378325128899524
"hsa-miR-1296",0.319741115625991,0.16957558976747,0.981362723093381,-0.0369155029748372,-0.919550654713549,0.176536219275888,0.0261865393326682,-0.0309295468501798,-0.400059720195853,0.205764210509793,-0.674423180363452,-0.749034053152609,-0.754960622328172,-0.685271851610695,4.13727787993924,-0.734225227695779,-0.103897135418691,0.0964051882871418,0.305280812346275
"hsa-miR-1297",-1.02841909347791,-0.973756904398161,-0.861864830509664,-0.80521821231218,-0.636572499578066,-0.555330264530869,-1.02687955418006,-0.966383202195379,-0.935585298202238,-0.940235666890239,-0.858346793126734,-0.970931369703325,-0.979874305983779,-0.874716968318773,-0.577861323219554,-0.948585493273687,-1.02691102054663,-0.883999841006855,-0.712843647695059
"hsa-miR-1298",-0.912813471536847,-1.01288640285699,-0.853877027459863,-0.772450488395683,-0.99107192368253,-0.625801416150039,-0.908863436928096,-0.776965571313616,-1.06936379998871,-0.847783821740778,-0.829367772692701,-0.93143867479033,-0.93954647784208,-0.844209224338708,-0.575075348195045,-0.911179560845147,-1.01003529463323,-0.88592202834265,-0.709084484153176
"hsa-miR-1299",0.772999023898669,1.31052449378908,1.15002418741639,0.904129188483713,0.768313729268628,0.985137488893281,1.07086024455091,1.1149059906919,1.30575938995463,1.51345614769518,-1.97288775543455,1.93337182754445,2.82221241854557,1.97944777492685,-1.769683579897,1.76542226105199,3.41951558892342,1.50475992812312,-1.71202317858013
"hsa-miR-1301",3.65206318123245,3.32081395852428,2.92161844454549,2.99328707743149,1.93688337201849,4.08396073601322,3.28703706319064,2.35271506238756,2.62681235209031,1.61256656290262,2.83906398771534,2.69010131684423,2.67826875758723,2.81740431555256,3.21017933946592,2.71966754640366,2.64150052041935,2.87368644551289,3.07683745774061
"hsa-miR-1302",-1.06546711106543,-0.997429703694477,-1.16815064378416,-0.610469685619884,-0.627502603425097,-0.771442384931967,-0.708830853111813,-1.00307100734205,-0.889281255293392,-0.871695404232572,-0.828024986409255,-0.946352927421987,-0.955752076655847,-0.845230266061161,-0.533230893405523,-0.922867103444622,-1.01372619047354,-0.880857704218874,-0.693231020597901
