,substanceBXH,geneSymbol,LocusLinkID,moduleColor,GS.Factor,p.GS.Factor,MM.grey,p.MM.grey,MM.blue,p.MM.blue,MM.brown,p.MM.brown,MM.greenyellow,p.MM.greenyellow,MM.pink,p.MM.pink,MM.salmon,p.MM.salmon,MM.tan,p.MM.tan,MM.magenta,p.MM.magenta,MM.black,p.MM.black,MM.green,p.MM.green,MM.turquoise,p.MM.turquoise
CA1,CA1,CA1,759,grey,-0.333881983,0.002472435,-0.449359466,2.89932E-05,-0.536073734,2.98047E-07,-0.258370324,0.020667537,0.402006359,0.000218772,0.359641599,0.00105114,-0.415035969,0.000129217,-0.471200944,1.02687E-05,0.077142879,0.496414507,0.226803215,0.043061916,-0.142828025,0.206273822,0.015093814,0.894283566
PLXNB3,PLXNB3,PLXNB3,5365,grey,-0.333843719,0.002475448,-0.465942321,1.32702E-05,-0.518263847,8.47875E-07,-0.239545865,0.032346138,0.431173169,6.52905E-05,0.444472604,3.62251E-05,-0.382379478,0.000464737,-0.395304173,0.000284457,-0.024713509,0.827741844,0.354112081,0.001270657,-0.086697924,0.444458048,0.174611876,0.121352125
RNF144A,RNF144A,RNF144A,9781,grey,0.333832541,0.002476329,0.36157411,0.000982939,0.231439871,0.038864662,0.324974558,0.003269535,-0.510068968,1.345E-06,-0.134292653,0.234977559,0.354787389,0.001241788,0.151294376,0.180360374,-0.506540282,1.63462E-06,0.075650567,0.504806227,0.436852661,5.09206E-05,0.099460338,0.380063908
AKAP11,AKAP11,AKAP11,11215,grey,0.333792572,0.002479481,0.402662101,0.00021316,0.357941924,0.001114641,0.081902865,0.470142769,-0.476341513,7.95905E-06,-0.125973472,0.26551509,0.247762514,0.026701788,0.299730767,0.006911412,-0.083342658,0.462347186,0.048824351,0.66713604,0.062348159,0.582719214,0.22247755,0.047309817
DNAI2,DNAI2,DNAI2,64446,grey,-0.333770656,0.002481211,-0.401640795,0.000221959,-0.392944819,0.000311592,-0.205542723,0.067387836,0.430596763,6.69421E-05,0.417355659,0.000117387,-0.388643513,0.000367258,-0.07506885,0.50809714,0.01841853,0.871178833,0.156779415,0.164889623,-0.218121591,0.051930819,0.283242417,0.010899905
TASOR,TASOR,TASOR,23272,grey,0.333769597,0.002481295,0.389343171,0.000357623,0.316495346,0.004233948,0.186269698,0.098058706,-0.454028121,2.33621E-05,-0.279018651,0.01219914,0.231599045,0.038726852,0.076050716,0.502548897,-0.107668853,0.341792154,0.03968547,0.72670732,0.14120259,0.211537904,-0.05688719,0.616221435
DNAAF11,DNAAF11,DNAAF11,23639,grey,-0.333728294,0.002484558,-0.454680707,2.26617E-05,-0.467796057,1.21291E-05,-0.158998165,0.158918041,0.535949382,3.00293E-07,0.249190059,0.025811624,-0.236184228,0.034928396,-0.390521461,0.000341919,0.143224154,0.205005194,0.023586112,0.835487223,-0.038943517,0.731621413,-0.041990327,0.711512793
ACAA1,ACAA1,ACAA1,30,grey,0.333679711,0.002488401,0.32954826,0.002835401,0.326814152,0.003088251,0.367040481,0.000811211,-0.22573138,0.044083843,-0.11353164,0.315994702,0.087959657,0.437832511,0.58913232,8.99958E-09,-0.301233404,0.006621816,-0.157495861,0.162943529,-0.02471808,0.827710472,0.273498027,0.014098721
SCFD1,SCFD1,SCFD1,23256,grey,0.333475478,0.002504616,0.395641801,0.000280756,0.397909086,0.000257031,0.15336366,0.174404229,-0.34209452,0.001896928,-0.272398053,0.014506364,0.380892546,0.00049111,0.289942195,0.009085952,-0.010738587,0.924680302,-0.230434651,0.039744441,-0.023018553,0.839392419,-0.0098513,0.930887699
ATF1,ATF1,ATF1,466,grey,-0.333459537,0.002505885,-0.269020208,0.015822499,-0.154897458,0.170083265,-0.47015073,1.08119E-05,0.252648675,0.023758727,0.027246617,0.81039989,-0.224833229,0.044955558,-0.292221861,0.008532085,0.618457353,9.77124E-10,-0.049472577,0.662982591,-0.161583976,0.152162835,-0.2363502,0.034796972
MRPS2,MRPS2,MRPS2,51116,grey,0.333458447,0.002505972,0.311703264,0.004884327,0.324186267,0.003350085,0.170355503,0.130841461,-0.272569904,0.014442013,0.030404778,0.788906827,0.199868924,0.075481288,0.639010672,1.7882E-10,-0.308775887,0.005323894,-0.462872913,1.53829E-05,0.068648049,0.545140663,0.371272597,0.000697528
TTI1,TTI1,TTI1,9675,grey,-0.333448839,0.002506737,-0.360154186,0.001032644,-0.286372168,0.010016607,-0.541245609,2.17511E-07,0.350732494,0.001424469,0.262531881,0.018641285,-0.515532335,9.90166E-07,-0.320616078,0.003737519,0.51166579,1.23051E-06,-0.00114696,0.991943684,0.04862905,0.668389378,0.068430681,0.546417345
VLDLR,VLDLR,VLDLR,7436,grey,-0.333306953,0.002518066,-0.317553262,0.004101202,-0.336953044,0.002241062,-0.300307581,0.006798952,0.198346588,0.077780294,0.183408465,0.103422485,-0.364587788,0.000884569,-0.450972139,2.69188E-05,0.252850353,0.023643431,0.303987048,0.006118779,-0.072435402,0.523132106,-0.07610923,0.502219243
IQCC,IQCC,IQCC,55721,grey,-0.333265284,0.002521402,-0.316063092,0.004289277,-0.250935742,0.024757398,-0.151874524,0.178675751,0.389980494,0.000349049,0.103568917,0.360595504,-0.229982319,0.040145699,-0.221816898,0.047988029,0.164406696,0.145035992,0.05625956,0.620124402,-0.143372778,0.204530652,-0.185333061,0.099790023
